ID_CLI,ID_END,END,CIDADE,UF,CD_MUN_IBGE
1,1,"Adelaide  Hill, 8710",Aliança,PE,2600708
2,2,"Adderley   Boulevard, 8494",Forquetinha,RS,4308433
4,4,"Angrave    Road, 6008",Nova Mutum,MT,5106224
5,5,"Beechen  Vale, 8092",Antônio Olinto,PR,4101309
6,6,"Baylis  Drive, 208",Cristal,RS,4306056
7,7,"Argyle  Route, 7521",Cajuri,MG,3110202
8,8,"Billing  Vale, 1521",Triunfo,PB,2516805
10,10,"Cockspur  Drive, 2162",Colorado,PR,4105904
12,12,"Queen Walk, 2725",Cidreira,RS,4305454
14,14,"Norland  Crossroad, 420",Sento Sé,BA,2930204
15,15,"Bedford  Road, 9991",Ibirarema,SP,3519501
16,16,"Dunstans  Avenue, 1529",Caxambu do Sul,SC,4204103
17,17,"Cloth  Alley, 8039",Seritinga,MG,3166402
18,18,"Aspen Lane, 545",Alvorada do Sul,PR,4100806
19,19,"Hammersmith  Pass, 1417",Domingos Martins,ES,3201902
20,20,"Cavell   Crossroad, 5143",Nazaré do Piauí,PI,2206704
21,21,"Bekesbourne   Lane, 1864",Canudos do Vale,RS,4304614
22,22,"Blackall   Grove, 7559",Natalândia,MG,3144375
24,24,"Pine Walk, 4209",Serra Alta,SC,4217550
25,25,"Rivervalley Route, 2944",Itacoatiara,AM,1301902
,,,,,
26,26,"Vine  Crossroad, 261",Vargem,SC,4219150
27,27,"Caxton  Route, 3595",Tanhaçu,BA,2931004
28,28,"Waldram Park  Crossroad, 5900",Ribeirão Bonito,SP,3542909
29,29,"Sheringham   Crossroad, 8619",Nazareno,MG,3144508
30,30,"Ben   Boulevard, 2237",Lajes,RN,2406700
31,31,"Chatfield  Vale, 8961",Antônio Olinto,PR,4101309
32,32,"Vincent  Route, 9003",Sabino,SP,3544608
33,33,"Tisbury  Grove, 7886",Santana de Mangueira,PB,2513505
34,34,"Coborn  Alley, 9413",Eunápolis,BA,2910727
35,35,"Andsell    Crossroad, 8620",Jambeiro,SP,3524907
36,36,"Lonsdale  Route, 1900",São José do Ouro,RS,4318606
37,37,"Ashley Pass, 8438",São Sepé,RS,4319604
38,38,"Howard Way, 9722",Bias Fortes,MG,3106804
39,39,"Cingworth  Alley, 2053",Canindé de São Francisco,SE,2801207
41,41,"York Walk, 1430",Laguna,SC,4209409
42,42,"Cephas  Hill, 1584",Mari,PB,2509107
43,43,"Sherlock   Walk, 9566",Queimadas,BA,2925808
44,44,"Cloth  Vale, 9649",Marialva,PR,4114807
46,46,"Geffrye   Pass, 7605",Araguanã,TO,1702158
47,47,"Birkenhead   Route, 1778",Tabatinga,AM,1304062
48,48,"Arctic   Vale, 5011",Wenceslau Braz,PR,4128500
49,49,"Chantry   Grove, 9481",São Félix,BA,2929008
50,50,"Lake Way, 5520",Santo Antônio do Jacinto,MG,3160306
51,51,"Longmoore   Pass, 7981",Divinolândia de Minas,MG,3122207
52,52,"East Vale, 1428",Itanagra,BA,2915908
53,53,"Heritage Tunnel, 2188",Mauá,SP,3529401
54,54,"Beaconsfield  Vale, 7826",Alpinópolis,MG,3101904
55,55,"Bagford   Way, 6941",Acreúna,GO,5200134
56,56,"Arctic   Rue, 78",Canitar,SP,3510153
57,57,"Aspen Rue, 7933",Boa Vista do Buricá,RS,4302204
58,58,"Champion  Grove, 9998",Boqueirão do Leão,RS,4302451
59,59,"King Walk, 9061",Passos,MG,3147907
60,60,"Shepherds  Pass, 2979",Nova Trento,SC,4211504
61,61,"Dunstable   Tunnel, 193",Arvoredo,SC,4201653
62,62,"Chatfield  Way, 9870",Entre Folhas,MG,3123858
65,65,"Beaconsfield  Lane, 7345",Ipixuna,AM,1301803
66,66,"Caldwell   Alley, 6900",Deodápolis,MS,5003454
67,67,"Chart   Grove, 5812",Abdon Batista,SC,4200051
68,68,"Linda   Alley, 4207",Sertanópolis,PR,4126504
69,69,"Thrale   Rue, 5024",Paulino Neves,MA,2108058
70,70,"Thomas More   Street, 9837",Votuporanga,SP,3557105
71,71,"Under  Walk, 1137",Lavínia,SP,3526506
