CD_CLI,ID_TEL,TELEFONE,TEL_PREFERENCIAL
1,1,(17) 98141-1220,1
2,2,(61) 97056-5298,1
3,3,(59) 99891-4130,1
4,4,(49) 98854-7214,1
5,5,(36) 99569-3893,1
6,6,(92) 99870-0835,1
7,7,(73) 97035-0013,1
8,8,(90) 97815-9519,1
9,9,(05) 99833-5208,1
10,10,(63) 99146-1061,1
11,11,(32) 98767-4398,1
12,12,(06) 98269-0166,1
13,13,(67) 97366-3614,1
14,14,(21) 98582-3432,1
15,15,(80) 97011-0445,1
16,16,(30) 98622-8511,1
17,17,(01) 98354-7223,1
18,18,(86) 97767-1793,1
19,19,(57) 97445-0464,1
20,20,(81) 99093-1007,1
22,22,(26) 99635-4137,1
23,23,(26) 97657-4126,1
24,24,(81) 97895-1348,1
25,25,(36) 98253-9527,1
26,26,(60) 99518-3452,1
27,27,(90) 99388-7379,1
28,28,(23) 97320-3970,1
29,29,(84) 98644-9631,1
30,30,(53) 99980-7092,1
31,31,(51) 99407-4526,1
31,32,(74) 97006-2085,0
34,34,(17) 99591-7168,1
35,35,(18) 97039-1943,1
36,36,(32) 97983-5950,1
37,37,(04) 97128-5457,1
38,38,(43) 99014-8695,1
39,39,(60) 99777-5721,1
40,40,(28) 98670-8503,1
41,41,(92) 99261-0251,1
42,42,(62) 98754-4588,1
43,43,(88) 99717-5998,1
44,44,(18) 99094-2491,1
45,45,(23) 97984-1658,1
46,46,(11) 98425-6096,1
47,47,(45) 97432-6293,1
48,48,(99) 97714-8604,1
49,49,(95) 99305-0984,1
49,50,(34) 99396-6802,0
51,51,(13) 99155-8602,1
52,52,(57) 97347-4453,1
53,53,(70) 98588-0546,1
54,54,(83) 97671-3816,1
54,55,(20) 97091-7491,0
56,56,(83) 97093-4116,1
57,57,(20) 98090-2894,1
58,58,(31) 97591-5355,1
59,59,(04) 98858-0259,1
60,60,(06) 97861-6053,1
61,61,(35) 98408-2137,1
62,62,(36) 98725-3499,1
63,63,(88) 97905-3451,1
64,64,(10) 99281-9584,1
65,65,(06) 97719-1442,1
