Nome,CPF,Genero,Telefone,Endereco,Cidade,Estado,Data de Nascimento,Email,Renda,Empresa,Cod do Cliente,Cartões,Vencimento do Cartão
Anika Hartman,14131126472,M,(809) 273-6722,Ap #796-2783 Tortor. Avenue,Pelotas,RS,15/12/1996,per@nostraperinceptos.net,R$893.22,Fringilla LLP,1,4485887419132,01/2019
David Hamilton,81547220756,F,(609) 347-2127,"9439 Non, Ave",São João de Meriti,RJ,20/05/1960,mi.lacinia@lectus.org,R$478.61,Elementum Industries,2,492971 1491073344,05/2018
Kaden Cannon,76568101893,M,(484) 511-7601,Ap #631-5072 Mauris St.,Ribeirão Preto,SP,09/08/2000,mi.ac.mattis@lectus.org,R$990.15,Vestibulum Neque Sed Inc.,3,4556092415055,08/2022
Benjamin Carter,29474158882,M,(437) 152-3723,"P.O. Box 146, 6853 Dolor St.",Jundiaí,SP,01/04/1961,felis@in.ca,R$484.96,Scelerisque Lorem Ipsum Foundation,4,4556711593339700,08/2021
Herrod Bird,26383876209,F,(893) 387-7697,"P.O. Box 110, 6623 Pharetra Rd.",São João de Meriti,RJ,01/03/1977,feugiat.placerat.velit@fermentumrisusat.com,R$427.18,Eu Dolor Egestas Corp.,5,4539784990383029,05/2023
Garrison Alvarez,17874473207,F,(730) 648-7914,911-1593 Purus St.,Santa Rita,PB,30/06/1950,euismod.ac.fermentum@Donecluctus.org,R$503.36,Nibh Aliquam Ornare Company,6,4539161495646,06/2021
Hiram House,80710891814,M,(821) 451-6637,"Ap #243-5408 In, Road",Mauá,SP,06/01/1965,Curabitur@interdumSedauctor.co.uk,R$879.01,A Purus Ltd,7,4746990949186,06/2022
Hadley Hull,30162415996,F,(764) 274-5829,1385 Ac Avenue,Foz do Iguaçu,PR,21/08/1998,lobortis.augue@Class.com,R$556.73,Et Risus PC,8,4024 007 17 5769,04/2018
Aimee Sparks,36526181273,F,(708) 879-1664,"583-2830 Sed, Rd.",Juazeiro do Norte,CE,09/05/1997,tempus.non.lacinia@blanditmattis.com,R$991.42,Eget Volutpat Ornare Corporation,9,453233 0147240568,04/2019
Byron Wilkerson,22202728399,F,(666) 793-3111,Ap #368-4865 Parturient Rd.,São José dos Pinhais,PR,02/07/1988,pellentesque.tellus@Duisacarcu.edu,R$083.55,A Mi Fringilla PC,10,4539822028489,08/2023
Amelia Bailey,43419393796,F,(581) 487-0970,621-2173 Fusce Av.,Ponta Grossa,PR,18/05/1946,velit@ornare.com,R$492.66,Tellus Aenean LLP,11,4485555148948,01/2021
Adria Gillespie,83845805736,M,(663) 613-6622,"P.O. Box 628, 9492 Tempor Avenue",Feira de Santana,BA,23/12/1996,est.ac.mattis@Curabiturut.edu,R$813.62,Hendrerit Consectetuer Limited,12,4716 9774 5171 9120,02/2022
Merritt Mcfarland,2726256849,F,(677) 407-4026,"P.O. Box 806, 3980 Odio Road",Salvador,BA,29/01/1928,diam.Duis@erosNamconsequat.edu,R$647.62,Eu Nulla At Corporation,13,4532 1387 3047 1809,07/2020
Cooper Reyes,90687758664,M,(541) 719-9651,899-1697 Orci. Street,Ribeirão Preto,SP,10/03/1982,ac.feugiat@porttitorerosnec.co.uk,R$984.05,Aliquam Fringilla LLP,14,4532 349 68 0585,02/2018
April Mooney,50100041128,F,(645) 630-9838,"Ap #307-2427 Ullamcorper, St.",Abaetetuba,PA,28/02/1920,dolor.Nulla.semper@orcilacus.org,R$405.31,Urna Vivamus Associates,15,465 35396 46615 459,04/2023
Venus Buckner,47604897348,M,(653) 322-0744,Ap #246-1927 Ipsum Ave,Jundiaí,SP,11/07/1926,dui.Cum.sociis@magna.edu,R$322.07,Urna Nec Luctus LLP,16,4916 830 27 8134,04/2018
Todd Deleon,40263947191,F,(943) 440-4257,"P.O. Box 985, 8546 Ut Street",São José,SC,28/11/1937,sed.turpis@duiaugueeu.net,R$667.78,Ut Incorporated,17,4532 5674 0884 0467,06/2019
Sean Johnson,84807517063,F,(291) 471-2103,7116 Nulla Road,Novo Hamburgo,RS,10/02/1976,vitae.diam@odioNam.edu,R$162.07,Purus Duis Company,18,4061 936 30 0308,11/2019
Noble Park,29128639112,M,(939) 542-9496,"Ap #773-9502 Purus, Rd.",Imperatriz,MA,23/09/1931,erat@enimconsequat.org,R$732.89,Elit Pharetra Foundation,19,4024007105097,07/2020
Ingrid Massey,47933352724,M,(794) 521-6532,286-1657 Sem. Rd.,Camaragibe,PE,30/07/1955,lacus@et.ca,R$752.88,Dui Suspendisse Ac Associates,20,4532 566 92 2793,05/2019
Petra Cruz,72162615169,M,(289) 479-1736,"568-4465 Enim, St.",Osasco,SP,11/03/1956,Nulla@Donecat.org,R$709.79,Quis Corporation,21,4024007138155,09/2021
Chiquita Levine,29895416337,M,(501) 290-2041,416-821 Vestibulum Avenue,Salvador,BA,01/05/1958,sed.leo@bibendumullamcorperDuis.edu,R$438.16,Dui Quis Incorporated,22,4929495661775,05/2020
Matthew Terrell,97096356777,F,(544) 483-8450,308 Litora Rd.,Belford Roxo,RJ,25/10/1955,non.luctus.sit@ipsumnunc.org,R$556.77,Aliquam Eros Turpis Company,23,4916198523015888,04/2018
Steel Pratt,59959347970,F,(533) 385-7004,"P.O. Box 117, 5315 Luctus Rd.",Abaetetuba,PA,02/02/1972,quis@Quisquepurus.edu,R$014.13,Diam Sed Diam Company,24,4532461540609,01/2021
Hadassah Sosa,52019795068,F,(237) 140-1430,568-1299 Arcu. Rd.,Governador Valadares,MG,09/10/1985,arcu@sagittis.co.uk,R$359.96,Diam Corporation,25,4532984665339,10/2021
Virginia Nielsen,81515919275,M,(429) 195-7761,Ap #672-3610 Sociosqu St.,Diadema,SP,21/03/1975,dictum@condimentumegetvolutpat.edu,R$025.30,Adipiscing Foundation,26,492994 6078898347,07/2021
Aretha Orr,88088219675,M,(835) 524-6790,730-1346 Cras Road,Lauro de Freitas,BA,24/02/1922,aliquam@velarcu.ca,R$268.95,Nunc Incorporated,27,402400 7137377171,06/2021
Arden Graham,33628367519,M,(714) 459-6515,210-3927 Gravida. Street,Recife,PE,24/06/1974,Nunc@tinciduntpedeac.net,R$437.33,Fermentum Arcu Industries,28,494671 8306265626,08/2023
Camden Donovan,86921338758,M,(333) 968-0087,"P.O. Box 289, 5642 Dolor Av.",Camaragibe,PE,08/03/1950,et@faucibusleoin.org,R$589.50,Ac Nulla In PC,29,4024007180281429,06/2021
Hedley Aguilar,70337563790,M,(587) 551-5068,"Ap #441-9533 Tempus, Ave",Açailândia,MA,05/04/1959,lorem.eget@nulla.ca,R$758.88,Ipsum PC,30,4556753730985938,03/2018
Anastasia Morse,17574751868,M,(484) 276-0825,Ap #432-4028 Nunc St.,Joinville,SC,03/05/1996,sed.consequat@ametultriciessem.co.uk,R$138.87,Magna Praesent Interdum Incorporated,31,4539552490339,07/2019
Levi Nunez,55893068374,M,(179) 382-9533,4989 Varius. Road,São José dos Pinhais,PR,21/05/1986,ante.ipsum@tellusfaucibus.co.uk,R$626.34,Ultrices Inc.,32,4532524778970820,02/2018
Gail Wiley,31358042917,F,(946) 526-5082,"9572 Aliquam, Rd.",Canoas,RS,22/10/1987,cursus.in.hendrerit@Sed.org,R$745.53,Dolor Tempus Non Limited,33,455658 901225 5438,03/2022
Claire Barr,96318922963,M,(699) 373-3652,Ap #272-8122 Nullam St.,Jundiaí,SP,11/02/1990,faucibus.orci.luctus@Nam.net,R$951.44,Tristique Senectus Et Ltd,34,4777956082829,05/2019
Cruz Pace,98668246732,F,(764) 932-0094,6635 Maecenas Road,Camaragibe,PE,19/04/1952,volutpat.Nulla@Vivamus.org,R$895.94,Posuere Corp.,35,4716107055258057,11/2018
Lucian Woods,74390655482,F,(712) 449-5761,5159 Enim St.,Juazeiro,BA,07/02/1990,turpis@semperetlacinia.net,R$319.04,Tortor Dictum Eu Associates,36,4716845153599,10/2018
Keefe Neal,10500310719,F,(441) 643-6268,200-1669 Est Road,Gravataí,RS,27/11/1950,Aliquam.tincidunt@dictumauguemalesuada.net,R$969.11,Sem Pellentesque Ut Company,37,4485226390796,06/2018
Reece Andrews,88557877398,M,(477) 528-6359,589-1680 Gravida St.,Guarulhos,SP,06/09/1951,justo.Praesent.luctus@gravida.com,R$106.91,In Limited,38,4485 787 16 3160,05/2018
Brian Franco,67707852126,M,(725) 357-1707,"P.O. Box 329, 5791 Elementum Rd.",Campinas,SP,03/03/1942,sodales.elit.erat@adipiscingnonluctus.edu,R$878.92,Erat Sed Inc.,39,4916243752937707,07/2023
Basil Carey,62934198811,F,(927) 803-8606,708-9531 Nonummy Street,Contagem,MG,29/01/1961,molestie.orci@faucibusorciluctus.ca,R$090.49,Et Pede Nunc Limited,40,4929718448111333,09/2019
Keith Grimes,31595635022,M,(235) 534-7820,5896 Aliquam Rd.,Belford Roxo,RJ,24/10/1930,morbi.tristique.senectus@quispede.org,R$022.51,Molestie Sodales Mauris Company,41,488284 9339839701,10/2019
Penelope Abbott,97611218988,M,(828) 396-0676,Ap #452-4291 Risus. Ave,Cametá,PA,09/02/1952,placerat.orci@Cras.net,R$707.31,A Magna Limited,42,4929 227 42 6497,07/2021
Blaine Avila,69001271465,F,(199) 221-6373,"P.O. Box 855, 5224 Quis, Street",Lauro de Freitas,BA,01/08/1942,lorem.ut.aliquam@at.co.uk,R$723.48,Quis Tristique Ac Institute,43,4250 5618 6539 0686,07/2023
Catherine Pope,94019193456,M,(605) 341-2289,"P.O. Box 785, 6589 Et, Avenue",Sobral,CE,20/10/1938,et.magnis.dis@risus.org,R$591.76,Facilisis Consulting,44,4539589118119,03/2019
Rina Cain,34107612713,M,(241) 252-2045,"P.O. Box 361, 335 Vitae Ave",Caruaru,PE,18/05/1950,enim.sit@metusAeneansed.co.uk,R$964.03,Scelerisque Dui Institute,45,453939 2739992884,11/2022
Constance Carter,28563494154,M,(365) 516-5858,623-2570 Tellus Av.,Jundiaí,SP,15/03/1989,mollis.Phasellus.libero@eleifend.ca,R$993.24,Semper Cursus Integer LLC,46,4929946641011337,06/2022
Eleanor Mercado,18185895710,F,(245) 748-5576,"P.O. Box 566, 8224 Tortor Rd.",Rio Grande,RS,22/02/1993,Fusce.aliquam.enim@mollis.co.uk,R$702.13,Eleifend Cras Foundation,47,4485148277975069,07/2021
Erin Russo,19574852726,M,(830) 800-2218,Ap #758-1551 Amet St.,Nova Iguaçu,RJ,25/07/1980,ut.sem.Nulla@aliquet.net,R$054.64,Suspendisse Sed Ltd,48,4024007197207128,04/2019
Hunter Malone,82645668209,M,(364) 672-3803,284 Fermentum Ave,Cametá,PA,08/11/1978,et@lacus.edu,R$508.20,Massa Company,49,4716431831828698,06/2018
Renee Kelley,30653634822,M,(355) 637-6968,683-2669 Auctor Av.,Mauá,SP,16/08/1954,varius@acarcuNunc.ca,R$600.14,Sed Corporation,50,4024 007 19 9108,01/2022
Alyssa Blankenship,73550746170,M,(208) 507-2149,Ap #274-488 Porttitor Avenue,Contagem,MG,15/04/1978,Duis.elementum@euultrices.org,R$042.64,Elit A Feugiat Consulting,51,455 67657 09056 467,06/2018
Josephine Tyler,72222662914,F,(448) 626-6937,3139 Gravida Road,Maranguape,CE,09/09/1950,molestie.Sed.id@Aliquam.co.uk,R$982.82,Fringilla Foundation,52,4024 0071 0440 8231,11/2020
Eagan Morris,70629604364,M,(769) 547-2979,"P.O. Box 932, 3743 Faucibus Rd.",Rio Grande,RS,23/09/1948,non.enim@arcu.org,R$446.44,Sapien Institute,53,492 92410 76411 156,08/2018
Ina Watts,4809709675,M,(924) 123-0280,993-8651 Eu Rd.,Abaetetuba,PA,03/10/1944,leo.in@elitNullafacilisi.edu,R$711.43,Urna Foundation,54,4556 757 23 3504,02/2020
Ashton Espinoza,5693254244,M,(545) 502-6378,2320 Urna Rd.,Juazeiro,BA,12/02/1974,ultrices.sit.amet@musProinvel.co.uk,R$141.42,Tempus Risus Donec Limited,55,4716 522 31 8176,01/2018
Noel Watkins,81988383945,F,(783) 626-6853,7499 Sed Rd.,Goiânia,GO,18/05/1920,consectetuer.cursus.et@enimEtiam.edu,R$302.18,In Faucibus Company,56,4140423838370507,08/2018
Simon Harrell,19479795452,F,(433) 832-9646,7547 Eu Av.,Maranguape,CE,25/12/2000,libero@dis.ca,R$182.30,Egestas Corp.,57,4916613678435,05/2023
Yasir Finley,36188443329,M,(735) 710-6120,Ap #385-3471 Dapibus Rd.,Diadema,SP,22/06/1991,id.ante.Nunc@malesuada.org,R$295.61,Commodo Ltd,58,492913 793102 4913,12/2020
Hope Figueroa,92345421580,M,(884) 531-4937,754-7657 Malesuada Ave,Ananindeua,PA,06/04/1993,Aenean.gravida@eu.net,R$037.80,Rhoncus Proin Nisl Institute,59,4716418722150,01/2023
Rashad Winters,65853931710,F,(787) 585-0886,3273 Mauris Ave,Joinville,SC,05/07/1948,blandit@metus.co.uk,R$801.51,Donec Consulting,60,4350028402129588,11/2018
Hilel Alford,15691006063,M,(635) 310-0659,4154 Vivamus Road,Bragança,PA,30/01/1953,erat.Etiam.vestibulum@velvenenatisvel.com,R$646.56,Quam Pellentesque Habitant LLC,61,4485 051 05 6181,04/2023
Benedict Dunlap,64639530638,M,(416) 319-2982,9140 Lectus Ave,Parauapebas,PA,10/12/1982,nulla.ante.iaculis@sagittis.com,R$276.73,Donec Egestas LLC,62,453904 1619613322,07/2021
Rebecca Benson,29359247329,F,(701) 169-7910,Ap #530-2652 Egestas Av.,Mauá,SP,31/01/1955,placerat@rutrumjustoPraesent.co.uk,R$451.82,Laoreet PC,63,4485705400053815,05/2020
Jameson Franklin,90354109227,M,(446) 932-2807,"P.O. Box 884, 4037 Sagittis Ave",Campinas,SP,17/12/1983,parturient.montes@in.ca,R$028.26,Ac Eleifend Inc.,64,492979 380238 2879,11/2022
Pandora Mcconnell,15634924336,F,(379) 326-6196,"P.O. Box 258, 5459 Sed Ave",Vitória da Conquista,BA,06/10/1925,id.nunc.interdum@urna.edu,R$048.97,Dapibus Incorporated,65,4539714173281542,02/2021
Yasir Skinner,55244571788,F,(298) 253-4421,301-9482 Ac St.,Mauá,SP,19/02/1950,dui.augue.eu@vestibulumMaurismagna.co.uk,R$978.18,Primis In Ltd,66,4024007107375510,12/2021
Christine Mayer,92820801271,F,(705) 435-1729,Ap #720-6355 Sed Street,Campinas,SP,24/10/1942,hendrerit.neque.In@facilisis.org,R$898.56,Vulputate Ullamcorper Magna Company,67,4485 056 82 5275,03/2019
Gemma Gilliam,79460363962,M,(577) 899-1716,270-6294 Vitae Avenue,Piracicaba,SP,06/08/1982,dui.augue.eu@dolornonummy.edu,R$371.05,Aenean Incorporated,68,4024007112952,09/2022
Cody Brooks,1169706830,M,(853) 990-9943,4935 Vestibulum Street,Ribeirão Preto,SP,04/01/1990,eget.venenatis.a@Quisquetincidunt.com,R$664.66,Sem Inc.,69,4509470595702039,03/2023
Casey Potter,73944529436,M,(883) 499-4416,Ap #579-8870 Consequat Road,Paranaguá,PR,01/05/1923,Vestibulum.accumsan@eratvitae.net,R$218.89,Ante Ipsum Inc.,70,4929 5312 8735 2136,03/2022
Merrill Goodman,31361471012,M,(845) 640-2426,"P.O. Box 400, 6060 Lorem, Rd.",Piracicaba,SP,28/10/1928,pharetra.Quisque.ac@nasceturridiculus.org,R$385.97,Eu Enim Industries,71,4485505382280059,07/2022
Chava Guy,9085273905,F,(693) 499-7906,4802 Consectetuer Road,Montes Claros,MG,28/11/1923,sed.leo@commodoauctor.org,R$154.50,In Consectetuer Associates,72,4965630232866,03/2021
April Mclean,67830620943,M,(306) 781-7027,1210 Lorem Rd.,Diadema,SP,25/07/1925,morbi.tristique@facilisisegetipsum.ca,R$524.57,Egestas Sed Pharetra Company,73,4556 126 83 2572,03/2021
Keith Mills,90666757909,F,(835) 545-4198,4167 Ante Avenue,Piracicaba,SP,21/02/1941,sed@semper.org,R$723.71,Accumsan Laoreet Ipsum Industries,74,4024007183057388,07/2021
Scott Browning,91511735845,M,(515) 570-8308,"P.O. Box 634, 3185 Massa. St.",Itajaí,SC,07/04/1940,eros.non.enim@enimnisl.edu,R$347.30,Vel Foundation,75,455648 533265 9468,10/2021
Sean Sanchez,74799515148,F,(886) 347-6884,Ap #342-570 Aliquam Street,Diadema,SP,14/04/2000,turpis.egestas@semmollisdui.co.uk,R$870.19,Volutpat Ornare Corporation,76,4716029950993432,02/2019
Roanna Vang,44239706467,M,(601) 882-7842,956-6357 Cubilia Rd.,Jaboatão dos Guararapes,PE,21/10/1933,Phasellus.fermentum.convallis@odio.co.uk,R$692.65,Egestas Nunc Sed Incorporated,77,492 90622 68168 408,01/2018
Kasimir Pate,47955649307,M,(230) 466-6424,"808-4053 Mauris, St.",Uberaba,MG,13/03/1927,justo.eu.arcu@acmattisornare.edu,R$823.16,Vehicula Associates,78,4539 640 45 0550,07/2023
Alisa Carney,25144202761,F,(343) 146-4510,Ap #110-6232 Malesuada St.,Castanhal,PA,10/02/1983,enim.commodo.hendrerit@Aliquamgravidamauris.ca,R$555.94,Torquent Per Industries,79,4929180175347,11/2018
Irma Bartlett,1687556228,M,(829) 405-6916,"577-9960 A, Rd.",Mogi das Cruzes,SP,22/12/1950,Sed@SuspendisseduiFusce.net,R$555.15,At Nisi Institute,80,4532923445859210,08/2018
Erin Saunders,59781582496,F,(807) 422-4012,"P.O. Box 769, 2918 Mus. Rd.",Niterói,RJ,26/10/1933,Proin@magna.co.uk,R$633.73,Proin LLP,81,4532002175170,07/2021
Yolanda Tillman,11913627917,F,(537) 946-0646,"P.O. Box 216, 5879 Dictum Road",Criciúma,SC,26/10/1986,Duis.mi@NullamenimSed.com,R$768.85,Mauris Erat Consulting,82,4532814114474,11/2022
Jocelyn Ferrell,72717959932,F,(237) 747-0283,"P.O. Box 910, 9745 Et St.",Maracanaú,CE,25/02/1991,feugiat.metus.sit@imperdiet.edu,R$243.97,Torquent Foundation,83,4929230382265,05/2018
Vaughan Miller,92540493058,M,(622) 972-5890,Ap #910-9721 Fringilla. Avenue,Vitória da Conquista,BA,11/02/1980,Morbi.accumsan.laoreet@imperdieterat.edu,R$149.18,Cras Interdum Limited,84,4929991595048,08/2019
Wilma Grant,20729358189,M,(823) 495-2629,4905 Integer Street,Campos dos Goytacazes,RJ,24/05/1989,blandit.mattis.Cras@aliquamenim.org,R$865.61,Eget Dictum Placerat LLC,85,4532129110183,08/2020
Lavinia Levine,29693728741,M,(497) 384-9611,Ap #244-5698 Penatibus Rd.,Feira de Santana,BA,04/07/1946,Proin.eget.odio@vel.org,R$748.68,Lorem Donec Corp.,86,4929694732690441,02/2022
Raven Patel,17136441552,M,(632) 791-5604,996-8155 Felis Ave,Guarulhos,SP,07/10/1954,interdum.Sed@luctusetultrices.com,R$723.93,Donec Tempor PC,87,4702 539 74 3853,10/2022
Hedley Harvey,74044304260,F,(754) 244-8058,4747 Mauris Rd.,Guarulhos,SP,30/06/1944,mollis.Integer@magnaSed.co.uk,R$650.92,Etiam Ligula Tortor Company,88,4485786466630,06/2020
Chadwick Dickerson,50730657319,F,(116) 635-6394,"P.O. Box 741, 4122 Cursus Av.",Rio de Janeiro,RJ,12/05/1945,sociis.natoque@magnaaneque.com,R$277.21,Ornare Institute,89,4929723277535,12/2018
